AIRCRAFT_ID,PRICE,START_OF_SERVICE,END_OF_SERVICE,TOTAL_FLIGHTS,Date Completed,Manufacturer,Model,Physical Class (Engine Type),# Engines,"Approach Speed
(Vref)","Wingspan, ft",Wingtip Configuration,"Length, ft","Tail Height, ft
(@ OEW)","Wheelbase, ft",Cockpit to Main Gear (CMG),"MGW
(Outer to Outer)",MTOW,"Max Ramp
Max Taxi",Main Gear Configuration,ICAO/FAA Code,ATCT Weight Class
289,533,6/20/1976,3/8/2012,529,1-Jul,Boeing (McDonnell Douglas),DC-8-55F,Jet,,137,142.4,no winglets,150.7,43.74,57.5,65.5,24.67,"325,000","328,000",2D,tbd,tbd
290,612,1/30/1970,18/9/2012,940,1-Jul,Boeing (McDonnell Douglas),DC-8-61,Jet,,144,142.4,no winglets,187.4,43.23,77.5,85.5,24.67,"325,000","328,000",2D,tbd,tbd
291,211,3/22/1971,3/9/2016,994,1-Jul,Boeing (McDonnell Douglas),DC-8-61F,Jet,,144,142.4,no winglets,187.4,43.19,77.5,85.5,24.67,"328,000","331,000",2D,tbd,tbd
292,782,5/13/1985,19/9/2013,893,1-Jul,Boeing (McDonnell Douglas),DC-8-62,Jet,,138,148.4,no winglets,157.5,43.25,60.8,68.8,24.88,"350,000","353,000",2D,tbd,tbd
293,158,11/17/1963,25/3/2015,930,1-Jul,Boeing (McDonnell Douglas),DC-8-62F,Jet,,138,148.4,no winglets,157.5,43.32,60.8,68.8,24.88,"350,000","353,000",2D,tbd,tbd
294,656,10/7/1990,14/12/2014,977,1-Jul,Boeing (McDonnell Douglas),DC-8-63,Jet,,143,148.4,no winglets,187.4,43,77.5,85.5,24.88,"355,000","358,000",2D,tbd,tbd
295,367,3/24/1976,10/5/2017,502,1-Jul,Boeing (McDonnell Douglas),DC-8-63F,Jet,,143,148.4,no winglets,187.4,43.13,77.5,85.5,24.88,"355,000","358,000",2D,tbd,tbd
296,646,10/17/1989,25/1/2016,718,1-Jul,Boeing (McDonnell Douglas),DC-8-71,Jet,,144,142.4,no winglets,187.4,43.23,77.5,85.5,24.67,"325,000","328,000",2D,tbd,tbd
297,630,10/17/1975,18/11/2017,575,1-Jul,Boeing (McDonnell Douglas),DC-8-71F,Jet,,144,142.4,no winglets,187.4,43.19,77.5,85.5,24.67,"328,000","331,000",2D,tbd,tbd
298,922,11/19/1967,6/11/2017,976,1-Jul,Boeing (McDonnell Douglas),DC-8-72,Jet,,138,148.4,no winglets,157.5,43.25,60.8,68.8,24.88,"335,000","338,000",2D,tbd,tbd
299,532,12/23/1967,29/8/2014,510,1-Jul,Boeing (McDonnell Douglas),DC-8-72F,Jet,,138,148.4,no winglets,157.5,43.32,60.8,68.8,24.88,"335,000","338,000",2D,tbd,tbd
300,309,2/3/1973,24/2/2011,878,1-Jul,Boeing (McDonnell Douglas),DC-8-73,Jet,,143,148.4,no winglets,187.4,43,77.5,85.5,24.88,"355,000","358,000",2D,tbd,tbd
301,313,4/16/1977,3/6/2012,556,1-Jul,Boeing (McDonnell Douglas),DC-8-73F,Jet,,143,148.4,no winglets,187.4,43.13,77.5,85.5,24.88,"355,000","358,000",2D,tbd,tbd
302,856,8/14/1979,17/11/2015,842,,Boeing (McDonnell Douglas),DC-9-10,,,132,,,,,,,,,,,DC91,Large Jet Eqpt
303,853,1/6/1989,23/12/2012,804,1-Jul,Boeing (McDonnell Douglas),DC-9-15,Jet,,132,89.4,no winglets,104.4,27.58,43.67,43.67,18.33,"90,700","91,500",D,DC95,Large Jet Eqpt
304,109,1/16/1970,29/11/2014,822,1-Jul,Boeing (McDonnell Douglas),DC-9-15F,Jet,,132,89.4,no winglets,104.4,27.58,43.67,43.67,18.33,"90,700","91,500",D,DC95,Large Jet Eqpt
305,990,1/17/1972,4/2/2010,720,1-Jul,Boeing (McDonnell Douglas),DC-9-20,Jet,,126,,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,D,DC92,Large Jet Eqpt
306,447,12/14/1965,2/6/2015,522,1-Jul,Boeing (McDonnell Douglas),DC-9-21,Jet,,132,93.3,no winglets,104.4,27.42,43.67,43.67,18.42,"98,000","101,000",D,DC92,Large Jet Eqpt
307,816,3/24/1974,6/11/2010,524,,Boeing (McDonnell Douglas),DC-9-30,,,132,93.3,,119.3,27.8,,,,"121,000",,,DC93,Large Jet Eqpt
308,541,10/11/1977,18/1/2015,600,1-Jul,Boeing (McDonnell Douglas),DC-9-32/33F,Jet,,132,93.3,no winglets,119.3,27.75,53.17,53.17,18.42,"108,000","109,000",D,DC93,Large Jet Eqpt
309,775,11/30/1969,20/6/2012,593,,Boeing (McDonnell Douglas),DC-9-40,,,132,93.3,,125.6,28.4,,,,"114,000",,,tbd,Large Jet Eqpt
310,1060,9/5/1964,7/9/2015,534,1-Jul,Boeing (McDonnell Douglas),DC-9-41,Jet,,132,93.3,no winglets,125.6,28.42,56.17,56.17,18.17,"114,000","115,000",D,tbd,Large Jet Eqpt
311,163,5/11/1973,6/7/2016,944,1-Jul,Boeing (McDonnell Douglas),DC-9-50,Jet,,135,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,D,tbd,Large Jet Eqpt
312,254,10/14/1990,25/5/2014,949,1-Jul,Boeing (McDonnell Douglas),DC-9-51,Jet,,132,93.35,no winglets,133.58,28.75,60.92,60.92,18.17,"121,000","122,000",D,tbd,Large Jet Eqpt
313,397,6/3/1985,25/7/2017,890,,Boeing (McDonnell Douglas),DC-9-80,,,132,107.8,,,30.3,,,,"140,000",,,tbd,Large Jet Eqpt
314,1006,8/4/1982,19/6/2011,937,,Boeing (McDonnell Douglas),DC-9-82,,,135,107.8,,,30.3,,,,"149,500",,,tbd,Large Jet Eqpt
315,1074,11/22/1979,15/5/2013,535,,Boeing (McDonnell Douglas),MD-10-10F,,,,,,,,,,,,,,tbd,tbd
316,766,3/23/1990,2/1/2016,562,,Boeing (McDonnell Douglas),MD-10-30F,,,,,,,,,,,,,,tbd,tbd
317,798,1/8/1972,9/5/2014,975,1-Jul,Boeing (McDonnell Douglas),MD-11,Jet,,153,170.5,winglets,202.17,58.83,80.75,101.67,41.25,"602,500","605,500",2D/D1,tbd,tbd
318,552,7/22/1962,17/10/2014,502,1-Jul,Boeing (McDonnell Douglas),MD-11 ER,Jet,,158,170.5,winglets,202.17,58.83,80.75,101.67,41.25,"630,500","633,000",2D/D1,tbd,tbd
319,1039,8/7/1983,23/9/2015,961,1-Jul,Boeing (McDonnell Douglas),MD-11F,Jet,,158,170.5,winglets,202.17,58.83,80.75,101.67,41.25,"602,500","605,500",2D/D1,tbd,tbd
320,105,5/8/1980,13/8/2014,819,1-Jul,Boeing (McDonnell Douglas),MD-81,Jet,,134,107.85,no winglets,147.83,30.17,72.43,72.43,20.4,"140,000","141,000",D,tbd,tbd
321,729,1/4/1980,1/8/2014,960,1-Jul,Boeing (McDonnell Douglas),MD-82,Jet,,134,107.85,no winglets,147.83,30.17,72.43,72.43,20.4,"149,500","150,500",D,MD82,Large Jet Eqpt
322,402,8/16/1961,1/4/2014,958,1-Jul,Boeing (McDonnell Douglas),MD-83,Jet,,144,107.85,no winglets,147.83,30.17,72.43,72.43,20.4,"160,000","161,000",D,MD83,Large Jet Eqpt
323,346,3/29/1969,18/10/2012,520,1-Jul,Boeing (McDonnell Douglas),MD-87,Jet,,134,107.85,no winglets,130.42,31.17,62.92,62.92,20.4,"149,500","150,500",D,tbd,tbd
324,592,3/23/1966,4/4/2016,751,1-Jul,Boeing (McDonnell Douglas),MD-88,Jet,,144,107.85,no winglets,147.83,30.17,72.43,72.43,20.4,"149,500","150,500",D,MD88,Large Jet Eqpt
325,429,8/22/1964,19/5/2010,776,1-Jul,Boeing (McDonnell Douglas),MD-90-30,Jet,,138,107.83,no winglets,152.58,31.17,77.17,77.17,20.4,"156,000","157,000",D,MD90,Large Jet Eqpt
326,517,12/23/1979,27/11/2012,722,1-Jul,Boeing (McDonnell Douglas),MD-90-30ER,Jet,,138,107.83,no winglets,152.58,31.17,77.17,77.17,20.4,"168,000","168,500",D,MD90,Large Jet Eqpt
327,788,9/4/1979,15/10/2017,558,,Boeing (McDonnell Douglas),MDC-C-133,,,128,179.7,,,48.2,,,,"300,000",,,tbd,tbd
328,1034,10/26/1979,1/2/2012,579,,Boeing (McDonnell Douglas),R6D-1/C118-A,,,,,,,,,,,,,,tbd,tbd
329,874,5/31/1986,3/12/2012,619,,Bombardier,BD-700 Global 5000,Jet,2,112,94,winglets,96.83,25.5,38.73,38.73,14,"92,500","92,750",D,GL5T,Medium Commuter Eqpt
330,1023,12/27/1976,28/4/2010,868,,Bombardier,BD-700 Global Express,Jet,2,112,94,,99.4,24.8,,,,"95,000",,,GLEX,Medium Commuter Eqpt
331,532,6/22/1971,29/12/2016,834,17-Aug,Bombardier,C Series Model CS100,Jet,,129,115.08,winglets,114.75,38.67,42.76,45.43,26.28,"134,000","135,000",D,tbd,tbd
332,169,9/27/1968,8/3/2015,754,17-Aug,Bombardier,C Series Model CS300,Jet,,136,115.08,winglets,127,38.67,48.01,50.68,26.28,"149,000","150,000",D,tbd,tbd
333,938,9/19/1974,19/2/2012,637,22-Aug,Bombardier,Canadair CL-215 Scooper (Land),Piston,,86,93.83,no winglets,65,29.46,24.61,24.61,13,"43,500","43,500",S,tbd,tbd
334,441,1/13/1980,15/10/2016,538,22-Aug,Bombardier,Canadair CL-215 Scooper (Water modified per CSB # CL215-124),Piston,,86,93.83,no winglets,65,29.46,24.61,24.61,13,"37,700","38,000",S,tbd,tbd
335,651,6/28/1988,15/9/2013,911,22-Aug,Bombardier,Canadair CL-215 Scooper (Water),Piston,,86,93.83,no winglets,65,29.46,24.61,24.61,13,"36,000","36,300",S,tbd,tbd
336,387,6/20/1969,24/7/2017,837,22-Aug,Bombardier,Canadair CL-215T Scooper Retrofit (Land),Turboprop,,88,93.92,winglets,65,29.46,24.61,24.61,13,"43,500","43,500",S,tbd,tbd
337,656,7/11/1982,25/3/2013,691,22-Aug,Bombardier,Canadair CL-215T Scooper Retrofit (Water),Turboprop,,88,93.92,winglets,65,29.46,24.61,24.61,13,"37,850","37,850",S,tbd,tbd
338,806,12/26/1973,8/7/2015,939,22-Aug,Bombardier,Canadair CL-415 Super Scooper (Land),Turboprop,,88,93.92,winglets,65,29.46,24.61,24.61,13,"43,850","43,850",S,tbd,tbd
339,937,10/28/1964,3/4/2016,843,22-Aug,Bombardier,Canadair CL-415 Super Scooper (Water),Turboprop,,88,93.92,winglets,65,29.46,24.61,24.61,13,"37,850","37,850",S,tbd,tbd
340,1091,12/18/1988,8/12/2015,959,21-Aug,Bombardier,Challenger 300,Jet,,125,63.83,winglets,68.75,20,27.75,27.75,12.64,"38,850","39,000",D,CL30,Medium Commuter Eqpt
341,1025,11/29/1980,25/10/2016,804,21-Aug,Bombardier,Challenger 350,Jet,,125,69,winglets,68.67,20,27.75,27.75,12.64,"40,600","40,750",D,CL35,Medium Commuter Eqpt
342,161,11/5/1989,10/11/2015,803,21-Aug,Bombardier,Challenger 600,Jet,,125,64.33,winglets,68.42,20.67,26.21,26.21,12.97,"41,100","41,250",D,CL60,Medium Commuter Eqpt
343,449,9/18/1965,16/1/2010,973,21-Aug,Bombardier,Challenger 601 (CL-601-1A),Jet,,125,64.33,winglets,68.42,20.67,26.21,26.21,12.97,"43,100","43,250",D,CL60,Medium Commuter Eqpt
344,365,6/20/1978,8/3/2016,634,21-Aug,Bombardier,Challenger 601 (CL-601-1A/ER),Jet,,125,64.33,winglets,68.42,20.67,26.21,26.21,12.97,"43,100","43,250",D,CL60,Medium Commuter Eqpt
345,1024,9/18/1969,18/10/2015,574,21-Aug,Bombardier,Challenger 601 (CL-601-3A),Jet,,125,64.33,winglets,68.42,20.67,26.21,26.21,12.97,"43,100","43,250",D,CL60,Medium Commuter Eqpt
346,239,2/11/1976,8/10/2016,574,21-Aug,Bombardier,Challenger 601 (CL-601-3A/ER),Jet,,125,64.33,winglets,68.42,20.67,26.21,26.21,12.97,"43,100","43,250",D,CL60,Medium Commuter Eqpt
347,877,10/27/1985,25/5/2014,957,21-Aug,Bombardier,Challenger 601 (CL-601-3R),Jet,,125,64.33,winglets,68.42,20.67,26.21,26.21,12.97,"45,100","45,250",D,CL60,Medium Commuter Eqpt
348,450,1/30/1967,7/9/2010,946,21-Aug,Bombardier,Challenger 601s (CL-601s),Jet,,125,64.33,winglets,68.42,20.67,26.21,26.21,12.97,"45,100","45,250",D,CL60,Medium Commuter Eqpt
349,121,1/2/1965,18/7/2016,757,21-Aug,Bombardier,Challenger 604,Jet,,137,64.33,winglets,68.42,20.67,26.21,26.21,12.97,"48,200","48,300",D,CL60,Medium Commuter Eqpt
350,137,10/24/1983,26/10/2015,509,21-Aug,Bombardier,Challenger 605,Jet,,137,64.33,winglets,68.42,20.67,26.21,26.21,12.97,"48,200","48,300",D,tbd,tbd
351,191,10/11/1976,15/10/2011,580,22-Aug,Bombardier,Challenger 650,Jet,,125,64.33,winglets,68.42,20.67,26.21,26.21,12.97,"48,200","48,300",D,tbd,tbd
352,679,3/17/1988,2/11/2012,638,,Bombardier,Challenger 800,Jet,,125,64.33,winglets,68.42,20.67,,,,,,D,tbd,tbd
353,701,7/29/1987,16/12/2012,891,,Bombardier,Challenger 850,Jet,,125,64.33,winglets,68.42,20.67,,,,,,D,tbd,tbd
354,284,5/13/1969,7/1/2015,717,17-Aug,Bombardier,CRJ 100/200 ER,Jet,,140,68.67,winglets,87.83,20.75,37.42,37.42,13.17,"51,000","51,250",D,CRJ2,Large Commuter Eqpt
355,201,10/21/1989,23/10/2011,834,17-Aug,Bombardier,CRJ 100/200 LR,Jet,,140,68.67,winglets,87.83,20.75,37.42,37.42,13.17,"53,000","53,250",D,CRJ2,Large Commuter Eqpt
356,503,1/7/1963,1/9/2016,773,17-Aug,Bombardier,CRJ 100/200 Standard,Jet,,140,68.67,winglets,87.83,20.75,37.42,37.42,13.17,"47,450","47,700",D,CRJ2,Large Commuter Eqpt
357,676,8/2/1981,2/2/2014,700,17-Aug,Bombardier,CRJ 1000 EL,Jet,,140,85.92,winglets,128.42,24.5,61.83,61.83,16.39,"85,968","86,468",D,tbd,tbd
358,95,12/29/1960,2/5/2015,888,17-Aug,Bombardier,CRJ 1000 ER,Jet,,140,85.92,winglets,128.42,24.5,61.83,61.83,16.39,"91,800","92,300",D,tbd,tbd
359,616,12/20/1975,22/5/2016,740,17-Aug,Bombardier,CRJ 1000 Standard,Jet,,140,85.92,winglets,128.42,24.5,61.83,61.83,16.39,"90,000","90,500",D,tbd,tbd
360,565,12/4/1987,28/8/2010,504,17-Aug,Bombardier,CRJ 700/701/702 ER,Jet,,135,76.27,winglets,106.57,24.83,49.25,49.25,16.39,"75,000","75,250",D,CRJ7,Large Commuter Eqpt
361,641,7/18/1971,26/10/2011,613,17-Aug,Bombardier,CRJ 700/701/702 LR,Jet,,135,76.27,winglets,106.57,24.83,49.25,49.25,16.39,"77,000","77,500",D,CRJ7,Large Commuter Eqpt
362,352,3/1/1969,22/5/2016,730,17-Aug,Bombardier,CRJ 700/701/702 Standard,Jet,,135,76.27,winglets,106.57,24.83,49.25,49.25,16.39,"72,750","73,000",D,CRJ7,Large Commuter Eqpt
363,1009,6/15/1966,5/5/2011,788,17-Aug,Bombardier,CRJ 705 (based on CRJ 900),Jet,,140,81.53,winglets,118.83,24.12,56.76,56.76,16.39,"84,500","85,000",D,tbd,tbd
364,968,11/17/1987,20/1/2013,604,17-Aug,Bombardier,CRJ 900 ER,Jet,,140,81.53,winglets,118.83,24.12,56.76,56.76,16.39,"82,500","82,750",D,tbd,tbd
365,245,2/19/1986,7/12/2014,553,17-Aug,Bombardier,CRJ 900 LR,Jet,,140,81.53,winglets,118.83,24.12,56.76,56.76,16.39,"84,500","85,000",D,tbd,tbd
366,691,11/4/1987,12/7/2015,538,17-Aug,Bombardier,CRJ 900 Standard,Jet,,140,81.53,winglets,118.83,24.12,56.76,56.76,16.39,"80,500","80,750",D,tbd,tbd
367,1031,4/5/1981,2/4/2013,725,,Bombardier,Global 6000,Jet,2,119,94,winglets,99.42,25.5,39.77,39.77,14,"99,500","99,750",D,tbd,tbd
368,341,2/12/1963,20/4/2014,927,,Bombardier,Global 7000,Jet,2,119,104,winglets,111.17,27.08,44.47,44.47,14,,"106,250",D,tbd,tbd
369,760,8/17/1965,29/8/2012,512,,Bombardier,Global 8000,Jet,2,119,104,winglets,102.17,27.08,40.87,40.87,14,,"104,800",D,tbd,tbd
370,751,10/4/1982,7/2/2016,838,6-Sep,Bombardier,Learjet 23,Jet,2,128,35.58,tip tanks,43.25,12.58,,,,"12,500","12,500",D,tbd,Medium Commuter Eqpt
371,849,11/11/1979,9/6/2013,633,6-Sep,Bombardier,Learjet 24,Jet,2,128,35.58,tip tanks,43.25,12.25,,,,"13,000","13,300",D,LJ24,Medium Commuter Eqpt
372,957,6/10/1980,22/9/2017,531,6-Sep,Bombardier,Learjet 24A,Jet,2,128,35.58,tip tanks,43.25,12.25,,,,"12,499","12,749",D,LJ24,Medium Commuter Eqpt
373,861,6/14/1988,30/7/2014,753,6-Sep,Bombardier,"Learjet 24B, D, F",Jet,2,128,35.58,tip tanks,43.25,12.25,tbd,tbd,tbd,"13,500","13,800",D,LJ24,Medium Commuter Eqpt
374,90,8/1/1981,2/3/2012,923,6-Sep,Bombardier,"Learjet 24B-A, C, D-A, F-A",Jet,2,128,35.58,tip tanks,43.25,12.25,,,,"12,499","12,750",D,LJ24,Medium Commuter Eqpt
375,331,3/9/1984,26/3/2011,690,6-Sep,Bombardier,Learjet 24E,Jet,2,128,35.58,tip tanks,43.25,12.25,,,,"12,900","13,200",D,LJ24,Medium Commuter Eqpt
376,1015,1/24/1972,28/4/2015,557,6-Sep,Bombardier,Learjet 25 (all variants except 25A),Jet,2,137,35.58,tip tanks,47.58,12.25,tbd,tbd,tbd,"15,000","15,500",D,LJ25,Medium Commuter Eqpt
377,438,9/8/1983,5/2/2016,658,6-Sep,Bombardier,Learjet 25A,Jet,2,125,35.58,tip tanks,47.58,12.25,,,,"12,499","12,749",D,LJ25,Medium Commuter Eqpt
378,1044,1/13/1964,29/7/2017,830,6-Sep,Bombardier,Learjet 28/29,Jet,2,125,43.83,winglets,47.58,12.25,,,,"15,000","15,500",D,tbd,Medium Commuter Eqpt
379,1096,4/15/1984,1/5/2011,895,6-Sep,Bombardier,Learjet 31/31A,Jet,2,125,43.83,winglets,48.67,12.25,,,,"15,500","15,750",D,LJ31,Medium Commuter Eqpt
380,567,1/7/1982,12/9/2016,652,6-Sep,Bombardier,"Learjet 35/36, 35A/36A",Jet,2,143,39.5,tip tanks,48.67,12.25,,,,"18,000","18,250",D,LJ35,Medium Commuter Eqpt
381,829,6/1/1983,29/11/2016,913,6-Sep,Bombardier,Learjet 40,Jet,2,123,47.78,winglets,55.56,14.13,,,,"21,000","21,250",D,LJ40,Small Eqpt
382,93,7/6/1969,13/11/2012,880,6-Sep,Bombardier,"Learjet 45, 45XR",Jet,2,123,47.83,winglets,58,14.08,,,,"21,500","21,750",D,LJ45,Small Eqpt
383,711,2/22/1967,6/11/2015,879,6-Sep,Bombardier,Learjet 55,Jet,2,125,43.83,winglets,55.08,14.67,,,,"19,500","19,750",D,LJ55,Medium Commuter Eqpt
384,625,12/19/1966,21/12/2013,548,6-Sep,Bombardier,Learjet 55B,Jet,2,125,43.83,winglets,55.08,14.67,,,,"21,500","21,750",D,tbd,Medium Commuter Eqpt
385,310,12/5/1983,28/7/2017,644,6-Sep,Bombardier,Learjet 55C,Jet,2,125,43.83,winglets,55.08,14.67,,,,"21,000","21,250",D,tbd,Medium Commuter Eqpt
386,1061,8/24/1977,7/6/2017,957,6-Sep,Bombardier,"Learjet 60, 60XR",Jet,2,125,43.75,winglets,58.67,14.67,,,,"22,750","23,000",D,LJ60,Medium Commuter Eqpt
387,704,8/26/1986,23/6/2012,567,28-Aug,Bombardier,Learjet 70,Jet,2,125,50.92,winglets,56,14,22.4,22.4,10,"21,500","21,750",D,tbd,Medium Commuter Eqpt
388,830,10/9/1977,27/9/2017,775,28-Aug,Bombardier,Learjet 75,Jet,2,125,50.92,winglets,58,14,23.2,23.2,10,"21,500","21,750",D,LJ75,Small Eqpt
389,947,4/7/1986,19/12/2010,829,,Bombardier (De Havilland Canada (DHC)),Dash 6 Twin Otter (DHC-6-100),,,,,,,,,,,,,,tbd,tbd
390,187,6/20/1964,16/4/2015,910,,Bombardier (De Havilland Canada (DHC)),Dash 6 Twin Otter (DHC-6-200),,,,,,,,,,,,,,tbd,tbd
391,424,7/2/1979,14/3/2017,824,,Bombardier (De Havilland Canada (DHC)),Dash 6 Twin Otter (DHC-6-300),,,,,,,,,,,,,,tbd,tbd
392,278,4/8/1976,8/7/2011,932,,Bombardier (De Havilland Canada (DHC)),Dash 6 Twin Otter (DHC-6-300S),,,,,,,,,,,,,,tbd,tbd
393,705,6/13/1967,10/5/2014,605,,Bombardier (De Havilland Canada (DHC)),Dash 7 Series 100 (DHC-7-100/101),,,,,,,,,,,,,,tbd,tbd
394,958,5/6/1984,4/9/2013,954,,Bombardier (De Havilland Canada (DHC)),Dash 7 Series 150 (DHC-7-150/151),,,,,,,,,,,,,,tbd,tbd
395,738,3/19/1973,31/12/2012,536,,Bombardier (De Havilland Canada (DHC)),Dash 8 Q100,,,,,,,,,,,,,,tbd,tbd
396,326,7/27/1988,5/1/2017,840,,Bombardier (De Havilland Canada (DHC)),Dash 8 Q200,,,,,,,,,,,,,,tbd,tbd
397,416,11/18/1984,1/5/2010,668,,Bombardier (De Havilland Canada (DHC)),Dash 8 Q300,,,,,,,,,,,,,,tbd,tbd
398,855,7/7/1977,27/9/2013,814,22-Aug,Bombardier (De Havilland Canada (DHC)),Dash 8 Q400,Turboprop,,125,93.25,no winglets,107.75,27.42,45.75,45.75,31.36,"65,200","65,400",D,tbd,Large Commuter Eqpt
399,334,1/12/1980,13/2/2013,862,22-Aug,Bombardier (De Havilland Canada (DHC)),Dash 8 Series 100 (DHC-8-101),Turboprop,,92,85,no winglets,73,24.58,26.08,26.08,28.12,"33,000","34,700",D,DH8A,Large Commuter Eqpt
400,445,9/12/1965,31/7/2014,660,22-Aug,Bombardier (De Havilland Canada (DHC)),Dash 8 Series 100 (DHC-8-102),Turboprop,,92,85,no winglets,73,24.58,26.08,26.08,28.12,"34,500","34,700",D,DH8A,Large Commuter Eqpt
401,244,6/18/1970,16/2/2014,975,22-Aug,Bombardier (De Havilland Canada (DHC)),Dash 8 Series 100 (DHC-8-103),Turboprop,,92,85,no winglets,73,24.58,26.08,26.08,28.12,"35,200","35,300",D,DH8A,Large Commuter Eqpt
402,1055,2/9/1969,13/12/2010,610,22-Aug,Bombardier (De Havilland Canada (DHC)),Dash 8 Series 100 (DHC-8-106),Turboprop,,92,85,no winglets,73,24.58,26.08,26.08,28.12,"36,300","36,500",D,DH8A,Large Commuter Eqpt
403,1085,8/7/1985,7/8/2011,682,22-Aug,Bombardier (De Havilland Canada (DHC)),Dash 8 Series 200 (DHC-8-201/202),Turboprop,,92,85,no winglets,73,24.58,26.08,26.08,28.12,"36,300","36,500",D,tbd,Large Commuter Eqpt
404,651,8/19/1987,9/1/2016,689,22-Aug,Bombardier (De Havilland Canada (DHC)),Dash 8 Series 300 (DHC-8-301),Turboprop,,99,90,no winglets,84.25,24.58,32.83,32.83,28.12,"41,100","41,300",D,tbd,Large Commuter Eqpt
405,889,2/13/1986,13/9/2010,760,22-Aug,Bombardier (De Havilland Canada (DHC)),Dash 8 Series 300 (DHC-8-311),Turboprop,,99,90,no winglets,84.25,24.58,33.5,33.5,28.12,"43,000","43,200",D,tbd,Large Commuter Eqpt
406,533,4/22/1989,6/11/2010,863,22-Aug,Bombardier (De Havilland Canada (DHC)),Dash 8 Series 300 (DHC-8-314/315),Turboprop,,99,90,no winglets,84.25,24.58,33.5,33.5,28.12,"43,000","43,200",D,tbd,Large Commuter Eqpt
407,929,1/29/1970,21/2/2017,500,22-Aug,Bombardier (De Havilland Canada (DHC)),Dash 8 Series 400 (DHC-8-400/401/402),Turboprop,,120,93.25,no winglets,107.75,27.42,45.75,45.75,31.36,"64,500","64,700",D,tbd,Large Commuter Eqpt
408,980,11/4/1979,3/4/2015,880,22-Aug,British Aerospace (BAe)/Avro,Avro RJ100/115,Jet,,123,86.42,no winglets,101.67,28.17,36.75,36.75,19,"101,500","102,000",D,RJ1H,tbd
409,654,7/29/1976,9/12/2016,608,22-Aug,British Aerospace (BAe)/Avro,Avro RJ70,Jet,,121,86.42,no winglets,85.92,28.25,36.75,36.75,19,"95,000","95,500",D,RJ70,tbd
410,562,6/10/1969,23/3/2015,608,22-Aug,British Aerospace (BAe)/Avro,Avro RJ85,Jet,,122,86.42,no winglets,93.67,28.25,36.75,36.75,19,"97,000","97,500",D,RJ85,tbd
411,1037,3/19/1963,3/4/2017,850,22-Aug,British Aerospace (BAe)/Avro,"BAe 146-100, 100QC, 100QT",Jet,,121,86.42,no winglets,85.92,28.25,36.75,36.75,18,"84,000","84,500",D,B461,tbd
412,963,5/14/1970,9/8/2017,633,22-Aug,British Aerospace (BAe)/Avro,"BAe 146-200, 200QC",Jet,,122,86.42,no winglets,93.67,28.25,36.75,36.75,18,"93,000","93,500",D,B462,tbd
413,509,4/22/1986,23/12/2015,688,22-Aug,British Aerospace (BAe)/Avro,"BAe 146-300, 300QC, 300QT",Jet,,123,86.42,no winglets,101.67,28.17,36.75,36.75,18,"99,500","100,000",D,B463,tbd
414,716,6/23/1983,9/1/2017,595,,British Aerospace (BAe)/Avro,BAe 3100 Jetstream,Turboprop,2,,,,,,,,,,,,JS31,Medium Commuter Eqpt
415,546,10/18/1979,16/8/2011,959,,British Aerospace (BAe)/Avro,"BAe HS125-1/2/3, 400/600",Jet,2,,,,,,,,,,,,H25A,Medium Commuter Eqpt
416,122,10/25/1988,30/4/2013,636,,British Aerospace (BAe)/Avro,BAe Jetstream 41,Turboprop,2,,,,,,,,,,,,JS41,Large Commuter Eqpt
417,504,11/29/1974,16/4/2011,899,,British Aerospace (BAe)/Avro,Hawker 1000,Jet,2,108,47,no winglets,50.5,17.25,22.73,22.73,12,"31,100",,D,H25C,Medium Commuter Eqpt
418,712,1/5/1962,22/2/2013,711,,British Aerospace (BAe)/Avro,Hawker 800,Jet,2,137,54.33,no winglets,51.17,18.08,tbd,tbd,tbd,"28,000",tbd,D,H25B,Medium Commuter Eqpt
419,444,7/4/1983,28/12/2010,958,,Britten-Norman,BN-2A MKIII,,,65,53,,,14.2,,,,"10,000",,,TRIS,tbd
420,447,10/18/1961,8/3/2012,694,,Canadair,CL,,,123,142.3,,,38.4,,,,"210,000",,,tbd,tbd
421,973,11/15/1986,2/12/2011,671,,Canadair,CL 600,,,125,61.8,,,20.7,,,,"41,250",,,CL60,tbd
422,321,8/20/1975,14/2/2012,591,,Canadair,CL-44,,,123,142.3,,,38.4,,,,"210,000",,,tbd,tbd
423,388,9/26/1964,12/7/2016,889,,Canadair,CL-44,,,123,142.3,,,38.4,,,,"210,000",,,CL44,tbd
424,674,2/22/1962,15/9/2012,701,,Casa,C-207A AZOR,,,102,91.2,,,25.4,,,,"36,400",,,C207,tbd
425,201,4/22/1990,27/3/2012,954,,Casa,C-212-200 AVIOCAR,,,81,62.3,,,20.7,,,,"16,976",,,tbd,tbd
426,229,8/9/1989,19/9/2014,522,7-Sep,Cessna,170,Piston,1,59,36,no winglets,24.96,6.58,tbd,tbd,tbd,"2,200","2,200",S,tbd,Small Eqpt
427,852,8/29/1961,13/9/2014,848,7-Sep,Cessna,"120, 140/140A",Piston,1,52,33.33,no winglets,21.5,6.25,tbd,tbd,tbd,"1,450","1,450",S,tbd,Small Eqpt
